//ROW	COL	VLDB	ASIC	HALF	CHANNEL
15	0	1	1	0	3
15	1	1	1	0	5
15	2	1	1	0	12
15	3	1	1	0	14
15	4	1	1	0	19
15	5	1	1	0	23
15	6	1	1	0	30
15	7	1	1	0	32
14	0	1	1	0	1
14	1	1	1	0	7
14	2	1	1	0	10
14	3	1	1	0	16
14	4	1	1	0	21
14	5	1	1	0	25
14	6	1	1	0	28
14	7	1	1	0	34
13	0	1	1	0	0
13	1	1	1	0	6
13	2	1	1	0	9
13	3	1	1	0	15
13	4	1	1	0	20
13	5	1	1	0	22
13	6	1	1	0	29
13	7	1	1	0	31
12	0	1	1	0	2
12	1	1	1	0	4
12	2	1	1	0	11
12	3	1	1	0	13
12	4	1	1	0	18
12	5	1	1	0	24
12	6	1	1	0	27
12	7	1	1	0	33
15	8	1	1	1	32
15	9	1	1	1	30
15	10	1	1	1	23
15	11	1	1	1	21
15	12	1	1	1	16
15	13	1	1	1	12
15	14	1	1	1	5
15	15	1	1	1	3
14	8	1	1	1	34
14	9	1	1	1	28
14	10	1	1	1	25
14	11	1	1	1	19
14	12	1	1	1	14
14	13	1	1	1	10
14	14	1	1	1	7
14	15	1	1	1	1
13	8	1	1	1	29
13	9	1	1	1	27
13	10	1	1	1	24
13	11	1	1	1	18
13	12	1	1	1	13
13	13	1	1	1	11
13	14	1	1	1	4
13	15	1	1	1	2
12	8	1	1	1	33
12	9	1	1	1	31
12	10	1	1	1	22
12	11	1	1	1	20
12	12	1	1	1	15
12	13	1	1	1	9
12	14	1	1	1	6
12	15	1	1	1	0
7	0	0	1	0	3
7	1	0	1	0	5
7	2	0	1	0	12
7	3	0	1	0	14
7	4	0	1	0	19
7	5	0	1	0	23
7	6	0	1	0	30
7	7	0	1	0	32
6	0	0	1	0	1
6	1	0	1	0	7
6	2	0	1	0	10
6	3	0	1	0	16
6	4	0	1	0	21
6	5	0	1	0	25
6	6	0	1	0	28
6	7	0	1	0	34
5	0	0	1	0	0
5	1	0	1	0	6
5	2	0	1	0	9
5	3	0	1	0	15
5	4	0	1	0	20
5	5	0	1	0	22
5	6	0	1	0	29
5	7	0	1	0	31
4	0	0	1	0	2
4	1	0	1	0	4
4	2	0	1	0	11
4	3	0	1	0	13
4	4	0	1	0	18
4	5	0	1	0	24
4	6	0	1	0	27
4	7	0	1	0	33
7	8	0	0	1	32
7	9	0	0	1	30
7	10	0	0	1	23
7	11	0	0	1	21
7	12	0	0	1	16
7	13	0	0	1	12
7	14	0	0	1	5
7	15	0	0	1	3
6	8	0	0	1	34
6	9	0	0	1	28
6	10	0	0	1	25
6	11	0	0	1	19
6	12	0	0	1	14
6	13	0	0	1	10
6	14	0	0	1	7
6	15	0	0	1	1
5	8	0	0	1	29
5	9	0	0	1	27
5	10	0	0	1	24
5	11	0	0	1	18
5	12	0	0	1	13
5	13	0	0	1	11
5	14	0	0	1	4
5	15	0	0	1	2
4	8	0	0	1	33
4	9	0	0	1	31
4	10	0	0	1	22
4	11	0	0	1	20
4	12	0	0	1	15
4	13	0	0	1	9
4	14	0	0	1	6
4	15	0	0	1	0
3	0	0	1	1	0
3	1	0	1	1	6
3	2	0	1	1	9
3	3	0	1	1	15
3	4	0	1	1	20
3	5	0	1	1	22
3	6	0	1	1	31
3	7	0	1	1	33
2	0	0	1	1	2
2	1	0	1	1	4
2	2	0	1	1	11
2	3	0	1	1	13
2	4	0	1	1	18
2	5	0	1	1	24
2	6	0	1	1	27
2	7	0	1	1	29
1	0	0	1	1	1
1	1	0	1	1	7
1	2	0	1	1	10
1	3	0	1	1	14
1	4	0	1	1	19
1	5	0	1	1	25
1	6	0	1	1	28
1	7	0	1	1	34
0	0	0	1	1	3
0	1	0	1	1	5
0	2	0	1	1	12
0	3	0	1	1	16
0	4	0	1	1	21
0	5	0	1	1	23
0	6	0	1	1	30
0	7	0	1	1	32
3	8	0	0	0	33
3	9	0	0	0	27
3	10	0	0	0	24
3	11	0	0	0	18
3	12	0	0	0	13
3	13	0	0	0	11
3	14	0	0	0	4
3	15	0	0	0	2
2	8	0	0	0	31
2	9	0	0	0	29
2	10	0	0	0	22
2	11	0	0	0	20
2	12	0	0	0	15
2	13	0	0	0	9
2	14	0	0	0	6
2	15	0	0	0	0
1	8	0	0	0	34
1	9	0	0	0	28
1	10	0	0	0	25
1	11	0	0	0	21
1	12	0	0	0	16
1	13	0	0	0	10
1	14	0	0	0	7
1	15	0	0	0	1
0	8	0	0	0	32
0	9	0	0	0	30
0	10	0	0	0	23
0	11	0	0	0	19
0	12	0	0	0	14
0	13	0	0	0	12
0	14	0	0	0	5
0	15	0	0	0	3
